date,open,high,low,close
2020-01-02 14:30:00+00:00,6895.0,6895.0,6867.0,6867.0
2020-01-03 14:30:00+00:00,6888.0,6895.0,6888.0,6895.0
2020-01-06 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-01-07 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-01-08 14:30:00+00:00,6888.0,6916.0,6888.0,6916.0
2020-01-09 14:30:00+00:00,6909.0,6916.0,6909.0,6916.0
2020-01-10 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-13 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-14 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-15 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-16 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-17 14:30:00+00:00,6930.0,7000.0,6923.0,6979.0
2020-01-21 14:30:00+00:00,6916.0,6965.0,6916.0,6916.0
2020-01-22 14:30:00+00:00,6916.0,6916.0,6916.0,6916.0
2020-01-23 14:30:00+00:00,6979.0,6979.0,6916.0,6916.0
2020-01-24 14:30:00+00:00,6916.0,6923.0,6916.0,6916.0
2020-01-27 14:30:00+00:00,6916.0,6923.0,6916.0,6923.0
2020-01-28 14:30:00+00:00,6923.0,6923.0,6923.0,6923.0
2020-01-29 14:30:00+00:00,6965.0,6965.0,6923.0,6958.0
2020-01-30 14:30:00+00:00,6958.0,6958.0,6958.0,6958.0
2020-01-31 14:30:00+00:00,6921.60009765625,6958.0,6921.60009765625,6958.0
2020-02-03 14:30:00+00:00,6958.0,6958.0,6958.0,6958.0
2020-02-04 14:30:00+00:00,6923.0,6958.0,6923.0,6958.0
2020-02-05 14:30:00+00:00,6958.0,6958.0,6958.0,6958.0
2020-02-06 14:30:00+00:00,6930.0,6930.0,6930.0,6930.0
2020-02-07 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-10 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-11 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-12 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-13 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-14 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-18 14:30:00+00:00,6937.0,6937.0,6937.0,6937.0
2020-02-19 14:30:00+00:00,6930.0,6930.0,6930.0,6930.0
2020-02-20 14:30:00+00:00,6930.0,6930.0,6930.0,6930.0
2020-02-21 14:30:00+00:00,6930.0,6930.0,6930.0,6930.0
2020-02-24 14:30:00+00:00,6930.0,6930.0,6930.0,6930.0
2020-02-25 14:30:00+00:00,6944.0,6944.0,6944.0,6944.0
2020-02-26 14:30:00+00:00,6944.0,6944.0,6944.0,6944.0
2020-02-27 14:30:00+00:00,6944.0,6944.0,6944.0,6944.0
2020-02-28 14:30:00+00:00,6944.0,6944.0,6895.0,6895.0
2020-03-02 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-03 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-04 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-05 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-06 14:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-09 13:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-10 13:30:00+00:00,6895.0,6979.0,6895.0,6965.0
2020-03-11 13:30:00+00:00,6902.0,6972.0,6895.0,6965.0
2020-03-12 13:30:00+00:00,6895.0,6895.0,6895.0,6895.0
2020-03-13 13:30:00+00:00,6860.0,6860.0,6839.0,6839.0
